"Fish","id","Sex","SL","BD","Spine_1","Spine_1_w_0","Spine_2","Spine_3","Anal_Spine"
"4-294",294,"M",41.3,11.7,3.4,3.4,4.26666666666667,1.2,1.35
"4-295",295,"M",33.7,8.34,2,2,2.53333333333333,0.6,NA
"4-296",296,"M",40.46,9.84,3.86666666666667,3.86666666666667,4.53333333333333,1,1.2
"4-297",297,"M",42.8,10.48,2.8,2.8,3.53333333333333,0.933333333333333,NA
"4-298",298,"F",44.8,10.48,2.66666666666667,2.66666666666667,3.66666666666667,0.8,1.325
"4-299",299,"F",44.9,11.2,3.53333333333333,3.53333333333333,4.13333333333333,1.33333333333333,1.325
"4-300",300,"F",44.1,10.34,4.26666666666667,4.26666666666667,4.93333333333333,1.66666666666667,1.7
"4-301",301,"M",40.22,10.78,3.53333333333333,3.53333333333333,4.26666666666667,0.933333333333333,1.15
"4-302",302,"M",44.22,11.24,3.26666666666667,3.26666666666667,4,1,0.95
"4-303",303,"F",40.98,10.9,2.8,2.8,4.06666666666667,0.866666666666667,1.15
"4-304",304,"F",46,11.36,2.73333333333333,2.73333333333333,4.2,1.2,1.35
"4-305",305,"M",33.7,8.24,2.8,2.8,3.46666666666667,0.733333333333333,NA
"4-306",306,"M",40.04,10.82,3.06666666666667,3.06666666666667,3.8,0.933333333333333,1.075
"4-307",307,"M",40.46,10.34,3.26666666666667,3.26666666666667,3.26666666666667,0.8,0.95
"4-308",308,"M",38.6,10.5,3.2,3.2,3.53333333333333,0.866666666666667,NA
"4-309",309,"F",39.2,9.68,3.46666666666667,3.46666666666667,4.26666666666667,1.26666666666667,1.4
"4-310",310,"M",43.64,10.02,3.46666666666667,3.46666666666667,4.6,1.13333333333333,1.075
"4-311",311,"F",45.7,10.94,2,2,4.13333333333333,1.2,1.475
"4-312",312,"F",43.88,10.34,3,3,4.2,1.2,1.375
"4-313",313,"F",40.74,10.46,3.06666666666667,3.06666666666667,3.73333333333333,1,1.2
"4-314",314,"M",43.28,11.24,3.2,3.2,4.2,1,1.175
"4-315",315,"F",36.96,9.7,2.66666666666667,2.66666666666667,3.2,0.8,1.15
"4-316",316,"M",45.36,12.36,2.93333333333333,2.93333333333333,3.46666666666667,0.866666666666667,1.15
"4-317",317,"F",43.1,11.78,3.06666666666667,3.06666666666667,3.86666666666667,1,NA
"4-318",318,"F",43.3,11.2,3.73333333333333,3.73333333333333,4.6,1.2,1.55
"4-319",319,"F",36.58,9.88,2.93333333333333,2.93333333333333,3.93333333333333,0.933333333333333,NA
"4-320",320,"F",43.14,10.56,3.4,3.4,4.13333333333333,1.13333333333333,1.6
"4-321",321,"F",40.86,10.98,2.8,2.8,3.53333333333333,1.2,1.45
"4-322",322,"F",34.46,8.28,2.73333333333333,2.73333333333333,3.33333333333333,0.866666666666667,1.125
"4-323",323,"M",43.36,11.88,3.73333333333333,3.73333333333333,4.73333333333333,1.13333333333333,1.35
"4-324",324,"F",43.62,11.52,3.2,3.2,4.2,1.13333333333333,1.475
"4-325",325,"F",47.08,11.44,4,4,4.8,1.4,1.725
"4-326",326,"F",37.1,9.38,3.66666666666667,3.66666666666667,4.13333333333333,1.4,1.5
"4-327",327,"F",46.64,12.54,3.46666666666667,3.46666666666667,4.86666666666667,1.46666666666667,1.55
"4-328",328,"M",42.2,11.18,2.66666666666667,2.66666666666667,3.53333333333333,1.06666666666667,1
"4-329",329,"F",32.04,7.96,2.86666666666667,2.86666666666667,3.33333333333333,0.933333333333333,1.125
"4-330",330,"M",30.6,7.94,2.53333333333333,2.53333333333333,3,0.866666666666667,0.925
"4-331",331,"F",40.76,9.7,3.53333333333333,3.53333333333333,4.33333333333333,1,1.6
"4-332",332,"F",43.84,10.22,2.93333333333333,2.93333333333333,3.86666666666667,1.06666666666667,1.175
"4-333",333,"F",39.92,10.24,2.8,2.8,3.4,1,NA
"4-334",334,"F",40.5,10.54,3.53333333333333,3.53333333333333,4.93333333333333,1.33333333333333,1.5
"4-335",335,"F",44.02,10.88,3.53333333333333,3.53333333333333,4.33333333333333,1.4,1.525
"4-336",336,"M",39.38,9.54,2.53333333333333,2.53333333333333,3.26666666666667,0.666666666666667,NA
"4-337",337,"M",33.7,7.92,2.8,2.8,3.26666666666667,0.866666666666667,0.9
"4-338",338,"F",30.96,7.76,2,2,2.73333333333333,0.6,0.725
"4-339",339,"M",44.84,11.64,3.2,3.2,3.86666666666667,1,1.05
"4-340",340,"M",40.64,10,2.93333333333333,2.93333333333333,3.66666666666667,0.8,0.775
"4-341",341,"F",36.62,8.36,3.06666666666667,3.06666666666667,3.33333333333333,0.866666666666667,NA
"4-342",342,"F",37.52,9.22,2.4,2.4,3.13333333333333,0.733333333333333,0.95
"4-343",343,"M",43,11.54,3.06666666666667,3.06666666666667,4.06666666666667,1.06666666666667,1.05
"4-344",344,"M",37.92,10.2,3.06666666666667,3.06666666666667,3.66666666666667,0.8,0.825
"4-345",345,"F",47.14,11.42,3,3,3.93333333333333,0.933333333333333,1.275
"4-346",346,"M",47.18,12.64,3.8,3.8,4.46666666666667,1.4,1.475
"4-347",347,"F",46.7,11.82,3.33333333333333,3.33333333333333,4,1.06666666666667,1.15
"4-348",348,"M",34.58,8.58,2.33333333333333,2.33333333333333,3.06666666666667,0.8,NA
"4-349",349,"F",45.36,10.34,3.46666666666667,3.46666666666667,4.13333333333333,1.06666666666667,1.175
"4-350",350,"M",36.7,9.04,3.2,3.2,3.8,1,1.125
"4-351",351,"F",38.52,9.76,2.93333333333333,2.93333333333333,3.6,0.933333333333333,NA
"4-352",352,NA,29.14,7.18,2.13333333333333,2.13333333333333,2.46666666666667,0.533333333333333,0.7
"4-353",353,"F",44.3,10.72,3.06666666666667,3.06666666666667,4.2,1.26666666666667,NA
"4-354",354,"F",43.04,9.6,3.73333333333333,3.73333333333333,4.2,1.13333333333333,1.3
"4-355",355,"F",37.2,9.38,2.86666666666667,2.86666666666667,3.4,0.933333333333333,NA
"4-356",356,"M",45.8,11.48,3.6,3.6,4.26666666666667,1,1.05
"4-357",357,"M",35.52,9.14,2.33333333333333,2.33333333333333,2.93333333333333,0.8,0.825
"4-358",358,"F",43.26,11.04,2.8,2.8,4.2,1.06666666666667,1.425
"4-359",359,"M",36.1,8.3,2.33333333333333,2.33333333333333,2.86666666666667,0.866666666666667,NA
"4-360",360,"M",38.76,10.14,2.93333333333333,2.93333333333333,3.33333333333333,0.866666666666667,1.025
"4-361",361,"M",44.82,11.6,0.733333333333333,0.733333333333333,3.73333333333333,1,1.125
"4-362",362,"F",30.38,7.5,1.8,1.8,2.4,0.533333333333333,0.6
"4-363",363,"M",44.86,11.6,3.53333333333333,3.53333333333333,4.06666666666667,0.866666666666667,1.3
"4-364",364,"F",39.12,10.28,3.2,3.2,4.06666666666667,1.33333333333333,1.2
"4-365",365,"M",45.8,11.86,3.06666666666667,3.06666666666667,3.8,1,1.275
"4-366",366,"M",48.76,13.56,3.46666666666667,3.46666666666667,4.2,0.933333333333333,1
"4-367",367,"M",42.98,10.94,3.26666666666667,3.26666666666667,4,1.06666666666667,1.175
"4-368",368,"F",34.08,7.68,2.66666666666667,2.66666666666667,3.2,0.933333333333333,NA
"4-369",369,"F",41.24,10.48,3.73333333333333,3.73333333333333,4.53333333333333,0.933333333333333,1.1
"4-370",370,"M",25.98,6.48,1.86666666666667,1.86666666666667,2.4,0.466666666666667,0.5
"4-371",371,"F",48.84,12.7,3.26666666666667,3.26666666666667,4.6,1.46666666666667,1.55
"4-372",372,"F",53.24,12.86,3.6,3.6,4.86666666666667,1.06666666666667,NA
"4-373",373,"M",42.56,11.9,3.06666666666667,3.06666666666667,3.66666666666667,1,1.275
"4-374",374,"F",44.26,11.3,3.53333333333333,3.53333333333333,4.26666666666667,1.2,1.325
"4-375",375,"M",29.7,11.32,2.2,2.2,2.66666666666667,0.466666666666667,0.7
